Rank,Jurisdiction,FSI Value,FSI Share,Secrecy Score,Global Scale Weight,Narrative Report
66,Vanuatu,149.27,0.47%,88.58,0.00%,Y
98,Antigua and Barbuda,54.53,0.17%,86.88,0.00%,N
19,Bahamas,429,1.35%,84.5,0.04%,N
62,Paraguay,158.52,0.50%,84.33,0.00%,N
91,Brunei,85.6,0.27%,84.05,0.00%,N
9,United Arab Emirates (Dubai),661.15,2.08%,83.85,0.14%,Y
94,Maldives,74.87,0.24%,81.08,0.00%,N
88,Bolivia,94.82,0.30%,80.35,0.00%,N
27,Kenya,378.35,1.19%,80.05,0.04%,Y
15,Thailand,550.6,1.74%,79.88,0.13%,N
38,Liberia,277.29,0.87%,79.7,0.02%,Y
46,Liechtenstein,240.86,0.76%,78.28,0.01%,N
110,St. Lucia,21.52,0.07%,78.28,0.00%,N
17,Bahrain,490.71,1.55%,77.8,0.11%,Y
81,Samoa,115.9,0.37%,77.6,0.00%,N
56,Anguilla,195.04,0.62%,77.5,0.01%,N
92,Monaco,82.93,0.26%,77.5,0.00%,N
112,Montserrat,16.53,0.05%,77.5,0.00%,N
96,Dominica,62.02,0.20%,77.33,0.00%,N
65,Puerto Rico,151.06,0.48%,77.2,0.00%,N
101,Grenada,44.61,0.14%,77.08,0.00%,N
87,Turks and Caicos Islands,98.08,0.31%,76.78,0.00%,N
63,St. Kitts and Nevis,152.55,0.48%,76.65,0.00%,N
12,Panama,625.84,1.97%,76.63,0.27%,Y
106,Gambia,34.51,0.11%,76.63,0.00%,Y
1,Switzerland,1589.57,5.01%,76.45,4.50%,Y
68,Aruba,148.05,0.47%,75.98,0.00%,Y
8,Taiwan,743.38,2.34%,75.75,0.50%,Y
77,Seychelles,125.26,0.40%,75.2,0.00%,N
90,Belize,86.3,0.27%,75.18,0.00%,Y
84,Curacao,105.66,0.33%,74.8,0.00%,Y
100,Cook Islands,44.97,0.14%,74.58,0.00%,N
48,Barbados,230.95,0.73%,73.85,0.02%,N
75,Tanzania,128.92,0.41%,73.4,0.00%,Y
78,Guatemala,123.63,0.39%,73.1,0.00%,Y
86,US Virgin Islands,101.89,0.32%,73.08,0.00%,N
36,Bermuda,281.83,0.89%,73.05,0.04%,N
39,Marshall Islands,275.29,0.87%,72.93,0.04%,N
10,Guernsey,658.92,2.08%,72.45,0.52%,Y
49,Mauritius,223.47,0.70%,72.35,0.02%,Y
3,Cayman Islands,1267.68,4.00%,72.28,3.79%,Y
11,Lebanon,644.41,2.03%,72.03,0.51%,Y
31,Malaysia (Labuan),335.11,1.06%,71.93,0.07%,N
69,Dominican Republic,147.09,0.46%,71.6,0.01%,N
4,Hong Kong,1243.68,3.92%,71.05,4.17%,Y
83,Gibraltar,107.44,0.34%,70.83,0.00%,N
111,St. Vincent and the Grenadines,21.38,0.07%,69.95,0.00%,N
37,Saudi Arabia,278.58,0.88%,69.88,0.05%,N
43,Ukraine,246.25,0.78%,69.15,0.04%,N
103,Botswana,39.45,0.12%,68.73,0.00%,Y
16,British Virgin Islands,502.76,1.59%,68.65,0.38%,Y
59,Costa Rica,168.78,0.53%,68.65,0.01%,N
85,Venezuela,105.03,0.33%,68.53,0.00%,N
22,Macao,424.92,1.34%,68.25,0.24%,N
30,Turkey,353.89,1.12%,67.98,0.14%,Y
5,Singapore,1081.98,3.41%,67.13,4.58%,Y
108,Nauru,26.32,0.08%,66.65,0.00%,N
105,Andorra,35.05,0.11%,66.05,0.00%,N
14,Netherlands,598.81,1.89%,66.03,0.90%,Y
47,Romania,232.3,0.73%,65.53,0.06%,Y
18,Jersey,438.22,1.38%,65.45,0.38%,Y
40,Philippines,269.81,0.85%,65.38,0.09%,N
107,Trinidad and Tobago,27.86,0.09%,65.25,0.00%,N
109,San Marino,24.31,0.08%,64,0.00%,N
29,Russia,361.16,1.14%,63.98,0.26%,N
42,Isle of Man,248.68,0.78%,63.58,0.09%,N
34,Israel,313.55,0.99%,63.25,0.19%,Y
99,Montenegro,52.64,0.17%,63.15,0.00%,N
95,Ghana,68.85,0.22%,61.75,0.00%,Y
60,Chile,168.64,0.53%,61.6,0.04%,N
57,Indonesia,188.79,0.60%,61.45,0.05%,N
24,Cyprus,404.44,1.28%,61.25,0.55%,Y
67,Uruguay,148.2,0.47%,60.83,0.03%,N
102,Macedonia,39.76,0.13%,60.68,0.00%,N
20,Malta,426.31,1.34%,60.53,0.71%,N
13,Japan,623.92,1.97%,60.5,2.24%,N
28,China,372.58,1.17%,60.08,0.51%,N
72,Iceland,139.69,0.44%,59.9,0.03%,N
2,USA,1298.47,4.09%,59.83,22.30%,Y
79,Croatia,119.36,0.38%,59.28,0.02%,N
7,Germany,768.95,2.42%,59.1,5.17%,Y
33,South Korea,314.06,0.99%,59.03,0.36%,N
6,Luxembourg,975.92,3.08%,58.2,12.13%,Y
80,Greece,118.58,0.37%,57.88,0.02%,N
55,Latvia,195.65,0.62%,57.38,0.11%,N
51,Poland,215.4,0.68%,57.35,0.15%,N
58,New Zealand,178.56,0.56%,56.23,0.10%,Y
50,South Africa,216.44,0.68%,56.1,0.18%,Y
35,Austria,310.41,0.98%,55.9,0.56%,Y
76,Slovakia,127.89,0.40%,54.9,0.05%,N
21,Canada,425.84,1.34%,54.75,1.75%,Y
74,Hungary,132.73,0.42%,54.7,0.05%,N
64,Portugal (Madeira),151.63,0.48%,54.68,0.08%,N
82,Mexico,107.57,0.34%,54.38,0.03%,N
89,Bulgaria,91.38,0.29%,54.18,0.02%,N
70,Czech Republic,145.1,0.46%,52.93,0.09%,N
71,Finland,142.23,0.45%,52.7,0.09%,N
61,Denmark,166.12,0.52%,52.5,0.15%,Y
32,India,316.62,1.00%,51.9,1.16%,Y
25,France,404.18,1.27%,51.65,2.52%,N
45,Norway,242.85,0.77%,51.58,0.55%,Y
44,Australia,244.36,0.77%,51.15,0.61%,Y
93,Estonia,79.47,0.25%,50.85,0.02%,N
26,Ireland,387.94,1.22%,50.65,2.66%,Y
41,Italy,254.14,0.80%,49.48,0.92%,Y
73,Brazil,138,0.44%,49,0.16%,Y
52,Spain,213.89,0.67%,47.7,0.77%,N
97,Lithuania,58.75,0.19%,46.78,0.02%,N
54,Sweden,203.55,0.64%,45.48,1.01%,N
53,Belgium,212.97,0.67%,44,1.56%,Y
23,United Kingdom,423.76,1.34%,42.35,17.37%,Y
104,Slovenia,35.32,0.11%,41.83,0.01%,N